Model,Algorithm,RCB_Sınıfı,Precision,Recall,F1_Score,AUC,Specificity
Model P,RandomForest,RCB-0,0.42857142857142855,0.5,0.46153846153846156,0.7887731481481481,0.75
Model P,RandomForest,RCB-1,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.37409200968523,0.9152542372881356
Model P,RandomForest,RCB-2,0.36363636363636365,0.27586206896551724,0.3137254901960784,0.46411929170549865,0.6216216216216216
Model P,RandomForest,RCB-3,0.11764705882352941,0.16666666666666666,0.13793103448275862,0.5740740740740741,0.7222222222222222
Model P,XGBoost,RCB-0,0.5,0.4444444444444444,0.47058823529411764,0.7239583333333334,0.8333333333333334
Model P,XGBoost,RCB-1,0.0,0.0,0.0,0.2772397094430992,0.8813559322033898
Model P,XGBoost,RCB-2,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.47996272134203166,0.5135135135135135
Model P,XGBoost,RCB-3,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.4830246913580247,0.7777777777777778
Model P,LightGBM,RCB-0,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.7112268518518519,0.7708333333333334
Model P,LightGBM,RCB-1,0.0,0.0,0.0,0.34503631961259074,0.8813559322033898
Model P,LightGBM,RCB-2,0.3333333333333333,0.3103448275862069,0.32142857142857145,0.4380242311276794,0.5135135135135135
Model P,LightGBM,RCB-3,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.5200617283950617,0.7777777777777778
Model O,RandomForest,RCB-0,0.5,0.4444444444444444,0.47058823529411764,0.7326388888888888,0.8333333333333334
Model O,RandomForest,RCB-1,0.125,0.14285714285714285,0.13333333333333333,0.42736077481840196,0.8813559322033898
Model O,RandomForest,RCB-2,0.4782608695652174,0.3793103448275862,0.4230769230769231,0.6136999068033551,0.6756756756756757
Model O,RandomForest,RCB-3,0.15789473684210525,0.25,0.1935483870967742,0.7407407407407408,0.7037037037037037
Model O,XGBoost,RCB-0,0.4375,0.3888888888888889,0.4117647058823529,0.7627314814814815,0.8125
Model O,XGBoost,RCB-1,0.125,0.14285714285714285,0.13333333333333333,0.45641646489104104,0.8813559322033898
Model O,XGBoost,RCB-2,0.43478260869565216,0.3448275862068966,0.38461538461538464,0.6491146318732526,0.6486486486486487
Model O,XGBoost,RCB-3,0.15789473684210525,0.25,0.1935483870967742,0.7469135802469136,0.7037037037037037
Model O,LightGBM,RCB-0,0.4,0.3333333333333333,0.36363636363636365,0.7309027777777778,0.8125
Model O,LightGBM,RCB-1,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.4636803874092009,0.8305084745762712
Model O,LightGBM,RCB-2,0.375,0.20689655172413793,0.26666666666666666,0.603448275862069,0.7297297297297297
Model O,LightGBM,RCB-3,0.20833333333333334,0.4166666666666667,0.2777777777777778,0.7291666666666666,0.6481481481481481
Model P+O,RandomForest,RCB-0,0.5652173913043478,0.7222222222222222,0.6341463414634146,0.8171296296296297,0.7916666666666666
Model P+O,RandomForest,RCB-1,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.576271186440678,0.9152542372881356
Model P+O,RandomForest,RCB-2,0.46153846153846156,0.41379310344827586,0.43636363636363634,0.5862068965517241,0.6216216216216216
