Model,BestAlgorithm,SMOTE,CV_AUC_Mean,CV_AUC_Std,Test_AUC,Test_F1,CV_Test_Gap,Num_Features
Model R,RandomForest,YOK,0.7394773671045124,0.018873700173905706,0.8382507706002738,0.5981255526083112,0.09877340349576136,17
Model ALL,LightGBM,YOK,0.8233667709625543,0.046785719649077025,0.8379561314187752,0.6016908212560387,0.014589360456220946,62
Model P+O+D,LightGBM,VAR,0.6264317100238965,0.03253298094810511,0.7178028763069796,0.41216216216216217,0.09137116628308306,21
Model P+O,RandomForest,YOK,0.6602736032487202,0.033578611842714864,0.7019329819455842,0.29933358015549794,0.04165937869686398,16
Model O,XGBoost,YOK,0.5718265209354814,0.06798965399067224,0.6696901777964266,0.3577935222672065,0.09786365686094523,5
Model P+O+D+K+B,LightGBM,VAR,0.6606280151811802,0.028529874158485,0.6694168960052703,0.386422748447205,0.008788880824090128,45
Model P+O+D+K,RandomForest,YOK,0.6872383853576363,0.03257919354783117,0.6637830585448937,0.35571300044984255,0.02345532681274254,31
Model D,XGBoost,VAR,0.4872329037428318,0.01989254891029663,0.6268589377615836,0.3585039366917335,0.13962603401875184,5
Model K,RandomForest,VAR,0.5127670181052649,0.025616826438478176,0.5529387727975603,0.25577200577200576,0.04017175469229539,10
Model P,RandomForest,VAR,0.6094330598613436,0.02287461912268559,0.5502646309032377,0.26676028501586313,0.05916842895810581,11
Model B,XGBoost,VAR,0.49530248402248345,0.051592129970471926,0.5156171243970168,0.2332453794915095,0.020314640374533344,14
